id	start	stop	strand	length	term_type	gene_number	genes	pseudo	phantom
TU_Ju_31308523_LB.exponential_1	147	308	+	162	TTS	1	b0001	0	0
TU_Ju_31308523_LB.exponential_2	147	5076	+	4930	TTS	4	b0001,b0002,b0003,b0004	0	0
TU_Ju_31308523_LB.exponential_3	301	5076	+	4776	TTS	3	b0002,b0003,b0004	0	0
TU_Ju_31308523_LB.exponential_4	2580	5076	+	2497	TTS	2	b0003,b0004	0	0
TU_Ju_31308523_LB.exponential_5	3749	5076	+	1328	TTS	0		0	0
TU_Ju_31308523_LB.exponential_6	4208	5076	+	869	TTS	0		0	0
TU_Ju_31308523_LB.exponential_7	8190	9229	+	1040	TTS	1	b0008	0	0
TU_Ju_31308523_LB.exponential_8	8190	9921	+	1732	TTS	2	b0008,b0009	0	0
TU_Ju_31308523_LB.exponential_9	9276	9921	+	646	TTS	1	b0009	0	0
TU_Ju_31308523_LB.exponential_10	9891	10375	-	485	TTS	0		0	0
TU_Ju_31308523_LB.exponential_11	9891	10476	-	586	TTS	0		0	0
TU_Ju_31308523_LB.exponential_12	9891	10564	-	674	TTS	1	b0010	0	0
TU_Ju_31308523_LB.exponential_13	12047	14142	+	2096	TTS	1	b0014	0	0
TU_Ju_31308523_LB.exponential_14	16149	16611	-	463	TTS	0		0	0
TU_Ju_31308523_LB.exponential_15	16149	17053	-	905	TTS	2	b0018,b4412	0	0
TU_Ju_31308523_LB.exponential_16	17309	18696	+	1388	TTS	1	b0019	0	0
TU_Ju_31308523_LB.exponential_17	17453	18696	+	1244	TTS	1	b0019	0	0
TU_Ju_31308523_LB.exponential_18	17980	18696	+	717	TTS	0		0	0
TU_Ju_31308523_LB.exponential_19	18021	18696	+	676	TTS	0		0	0
TU_Ju_31308523_LB.exponential_20	20764	21117	-	354	TTS	1	b0023	0	0
TU_Ju_31308523_LB.exponential_21	20764	21207	-	444	TTS	1	b0023	0	0
TU_Ju_31308523_LB.exponential_22	21382	27282	+	5901	TTS	5	b0025,b0026,b0027,b0028,b0029	0	0
TU_Ju_31308523_LB.exponential_23	21833	27282	+	5450	TTS	4	b0026,b0027,b0028,b0029	0	0
TU_Ju_31308523_LB.exponential_24	25013	27282	+	2270	TTS	3	b0027,b0028,b0029	0	0
TU_Ju_31308523_LB.exponential_25	27262	28256	+	995	TTS	1	b0030	0	0
TU_Ju_31308523_LB.exponential_26	27262	29276	+	2015	TTS	3	b0030,b0031,ECK125203390	0	0
TU_Ju_31308523_LB.exponential_27	28286	29276	+	991	TTS	2	b0031,ECK125203390	0	0
TU_Ju_31308523_LB.exponential_28	28342	29276	+	935	TTS	2	b0031,ECK125203390	0	0
TU_Ju_31308523_LB.exponential_29	29550	34117	+	4568	TTS	2	b0032,b0033	0	0
TU_Ju_31308523_LB.exponential_30	34171	34830	+	660	TTS	1	b0034	0	0
TU_Ju_31308523_LB.exponential_31	34193	34830	+	638	TTS	1	b0034	0	0
TU_Ju_31308523_LB.exponential_32	34235	34830	+	596	TTS	1	b0034	0	0
TU_Ju_31308523_LB.exponential_33	47214	49729	+	2516	TTS	2	b0046,b0047	0	0
TU_Ju_31308523_LB.exponential_34	50322	52034	-	1713	TTS	2	b0050,b0049	0	0
TU_Ju_31308523_LB.exponential_35	50322	52587	-	2266	TTS	3	b0051,b0050,b0049	0	0
TU_Ju_31308523_LB.exponential_36	50322	53089	-	2768	TTS	3	b0051,b0050,b0049	0	0
TU_Ju_31308523_LB.exponential_37	53259	55358	-	2100	TTS	1	b0053	0	0
TU_Ju_31308523_LB.exponential_38	53259	57156	-	3898	TTS	2	b0054,b0053	0	0
TU_Ju_31308523_LB.exponential_39	53259	57241	-	3983	TTS	2	b0054,b0053	0	0
TU_Ju_31308523_LB.exponential_40	57201	58242	+	1042	TTS	1	b0055	0	0
TU_Ju_31308523_LB.exponential_41	57258	58242	+	985	TTS	1	b0055	0	0
TU_Ju_31308523_LB.exponential_42	59610	60595	-	986	TTS	1	b0058	0	0
TU_Ju_31308523_LB.exponential_43	59610	63356	-	3747	TTS	2	b0059,b0058	0	0
TU_Ju_31308523_LB.exponential_44	66965	67410	+	446	TTS	0		0	0
TU_Ju_31308523_LB.exponential_45	67348	67777	-	430	TTS	0		0	0
TU_Ju_31308523_LB.exponential_46	77366	77593	+	228	TTS	2	b4577,b4662	0	0
TU_Ju_31308523_LB.exponential_47	78815	79156	-	342	TTS	0		0	0
TU_Ju_31308523_LB.exponential_48	78815	79676	-	862	TTS	1	b0071	0	0
TU_Ju_31308523_LB.exponential_49	83571	83735	-	165	TTS	1	b0075	0	0
TU_Ju_31308523_LB.exponential_50	84303	85362	+	1060	TTS	1	b0076	0	0
TU_Ju_31308523_LB.exponential_51	87968	89080	+	1113	TTS	1	b0080	0	0
TU_Ju_31308523_LB.exponential_52	102744	107551	+	4808	TTS	4	b0093,b0094,b0095,b0096	0	0
TU_Ju_31308523_LB.exponential_53	104635	107551	+	2917	TTS	2	b0095,b0096	0	0
TU_Ju_31308523_LB.exponential_54	104692	107551	+	2860	TTS	2	b0095,b0096	0	0
TU_Ju_31308523_LB.exponential_55	106507	107551	+	1045	TTS	1	b0096	0	0
TU_Ju_31308523_LB.exponential_56	106507	111030	+	4524	TTS	3	b0096,b0097,b0098	0	0
TU_Ju_31308523_LB.exponential_57	106529	107551	+	1023	TTS	1	b0096	0	0
TU_Ju_31308523_LB.exponential_58	106529	111030	+	4502	TTS	3	b0096,b0097,b0098	0	0
TU_Ju_31308523_LB.exponential_59	107667	111030	+	3364	TTS	2	b0097,b0098	0	0
TU_Ju_31308523_LB.exponential_60	111471	111828	-	358	TTS	1	b0100	0	1
TU_Ju_31308523_LB.exponential_61	111471	112688	-	1218	TTS	3	b0102,b0101,b0100	0	0
TU_Ju_31308523_LB.exponential_62	111471	113322	-	1852	TTS	4	b0103,b0102,b0101,b0100	0	0
TU_Ju_31308523_LB.exponential_63	113396	114526	+	1131	TTS	1	b0104	0	0
TU_Ju_31308523_LB.exponential_64	117709	118679	-	971	TTS	1	b0109	0	0
TU_Ju_31308523_LB.exponential_65	118525	120173	+	1649	TTS	2	b0110,b0111	0	0
TU_Ju_31308523_LB.exponential_66	118702	120173	+	1472	TTS	2	b0110,b0111	0	0
TU_Ju_31308523_LB.exponential_67	120138	121676	-	1539	TTS	1	b0112	0	0
TU_Ju_31308523_LB.exponential_68	120138	121916	-	1779	TTS	1	b0112	0	0
TU_Ju_31308523_LB.exponential_69	122024	122940	+	917	TTS	1	b0113	0	0
TU_Ju_31308523_LB.exponential_70	122024	123792	+	1769	TTS	1	b0113	0	0
TU_Ju_31308523_LB.exponential_71	122032	122940	+	909	TTS	1	b0113	0	0
TU_Ju_31308523_LB.exponential_72	122032	123792	+	1761	TTS	1	b0113	0	0
TU_Ju_31308523_LB.exponential_73	126731	129396	+	2666	TTS	1	b0116	0	0
TU_Ju_31308523_LB.exponential_74	127636	129396	+	1761	TTS	1	b0116	0	0
TU_Ju_31308523_LB.exponential_75	127717	129396	+	1680	TTS	1	b0116	0	0
TU_Ju_31308523_LB.exponential_76	130198	134278	+	4081	TTS	1	b0118	0	0
TU_Ju_31308523_LB.exponential_77	131519	134278	+	2760	TTS	1	b0118	0	0
TU_Ju_31308523_LB.exponential_78	131519	134786	+	3268	TTS	2	b0118,b0119	0	0
TU_Ju_31308523_LB.exponential_79	134338	134786	+	449	TTS	1	b0119	0	0
TU_Ju_31308523_LB.exponential_80	134752	136504	-	1753	TTS	2	b0121,b0120	0	0
TU_Ju_31308523_LB.exponential_81	134752	136550	-	1799	TTS	2	b0121,b0120	0	0
TU_Ju_31308523_LB.exponential_82	134752	136940	-	2189	TTS	3	b0122,b0121,b0120	0	0
TU_Ju_31308523_LB.exponential_83	137001	138678	+	1678	TTS	1	b0123	0	0
TU_Ju_31308523_LB.exponential_84	137042	138678	+	1637	TTS	1	b0123	0	0
TU_Ju_31308523_LB.exponential_85	138648	141263	-	2616	TTS	1	b0124	0	0
TU_Ju_31308523_LB.exponential_86	141359	142003	+	645	TTS	1	b0125	0	0
TU_Ju_31308523_LB.exponential_87	141972	142703	-	732	TTS	1	b0126	0	0
TU_Ju_31308523_LB.exponential_88	141972	142767	-	796	TTS	1	b0126	0	0
TU_Ju_31308523_LB.exponential_89	146275	146754	-	480	TTS	1	b0131	0	0
TU_Ju_31308523_LB.exponential_90	147394	147943	+	550	TTS	0		0	0
TU_Ju_31308523_LB.exponential_91	147582	147943	+	362	TTS	0		0	0
TU_Ju_31308523_LB.exponential_92	147904	148854	-	951	TTS	1	b0133	0	0
TU_Ju_31308523_LB.exponential_93	147904	149630	-	1727	TTS	2	b0134,b0133	0	0
TU_Ju_31308523_LB.exponential_94	159610	160125	+	516	TTS	0		0	0
TU_Ju_31308523_LB.exponential_95	160096	160657	-	562	TTS	1	b0145	0	0
TU_Ju_31308523_LB.exponential_96	160096	161078	-	983	TTS	1	b0145	0	0
TU_Ju_31308523_LB.exponential_97	160096	161142	-	1047	TTS	1	b0145	0	0
TU_Ju_31308523_LB.exponential_98	160096	161377	-	1282	TTS	1	b0145	0	0
TU_Ju_31308523_LB.exponential_99	160096	162053	-	1958	TTS	3	b0147,b0146,b0145	0	0
TU_Ju_31308523_LB.exponential_100	162076	167309	+	5234	TTS	2	b0148,b0149	0	0
TU_Ju_31308523_LB.exponential_101	164234	167309	+	3076	TTS	1	b0149	0	0
TU_Ju_31308523_LB.exponential_102	166522	167309	+	788	TTS	0		0	0
TU_Ju_31308523_LB.exponential_103	167427	169764	+	2338	TTS	1	b0150	0	0
TU_Ju_31308523_LB.exponential_104	169123	169764	+	642	TTS	0		0	0
TU_Ju_31308523_LB.exponential_105	169214	169764	+	551	TTS	0		0	0
TU_Ju_31308523_LB.exponential_106	173427	174919	-	1493	TTS	1	b0154	0	0
TU_Ju_31308523_LB.exponential_107	173427	174992	-	1566	TTS	1	b0154	0	0
TU_Ju_31308523_LB.exponential_108	174932	176994	+	2063	TTS	4	b4765,b0155,b4728,b0156	0	0
TU_Ju_31308523_LB.exponential_109	175011	176994	+	1984	TTS	4	b4765,b0155,b4728,b0156	0	0
TU_Ju_31308523_LB.exponential_110	175919	176994	+	1076	TTS	2	b4728,b0156	0	0
TU_Ju_31308523_LB.exponential_111	176413	176994	+	582	TTS	2	b4728,b0156	0	0
TU_Ju_31308523_LB.exponential_112	176560	176994	+	435	TTS	1	b0156	0	0
TU_Ju_31308523_LB.exponential_113	178420	179181	-	762	TTS	1	b0159	0	0
TU_Ju_31308523_LB.exponential_114	179197	182347	+	3151	TTS	2	b0160,b0161	0	0
TU_Ju_31308523_LB.exponential_115	180836	182347	+	1512	TTS	1	b0161	0	0
TU_Ju_31308523_LB.exponential_116	183648	184193	-	546	TTS	1	b0163	0	0
TU_Ju_31308523_LB.exponential_117	183648	184226	-	579	TTS	1	b0163	0	0
TU_Ju_31308523_LB.exponential_118	183648	185976	-	2329	TTS	4	b0166,b0165,b0164,b0163	0	0
TU_Ju_31308523_LB.exponential_119	185086	185976	-	891	TTS	1	b0166	0	0
TU_Ju_31308523_LB.exponential_120	185086	186064	-	979	TTS	1	b0166	0	0
TU_Ju_31308523_LB.exponential_121	188683	189553	-	871	TTS	1	b0168	0	0
TU_Ju_31308523_LB.exponential_122	188683	189843	-	1161	TTS	1	b0168	0	0
TU_Ju_31308523_LB.exponential_123	189549	190799	+	1251	TTS	2	b4414,b0169	0	0
TU_Ju_31308523_LB.exponential_124	189549	191745	+	2197	TTS	3	b4414,b0169,b0170	0	0
TU_Ju_31308523_LB.exponential_125	189639	190799	+	1161	TTS	2	b4414,b0169	0	0
TU_Ju_31308523_LB.exponential_126	189639	191745	+	2107	TTS	3	b4414,b0169,b0170	0	0
TU_Ju_31308523_LB.exponential_127	189712	190799	+	1088	TTS	2	b4414,b0169	0	0
TU_Ju_31308523_LB.exponential_128	189712	191745	+	2034	TTS	3	b4414,b0169,b0170	0	0
TU_Ju_31308523_LB.exponential_129	189712	193489	+	3778	TTS	5	b4414,b0169,b0170,b0171,b0172	0	0
TU_Ju_31308523_LB.exponential_130	191811	193489	+	1679	TTS	2	b0171,b0172	0	0
TU_Ju_31308523_LB.exponential_131	192616	193489	+	874	TTS	1	b0172	0	0
TU_Ju_31308523_LB.exponential_132	192813	193489	+	677	TTS	1	b0172	0	0
TU_Ju_31308523_LB.exponential_133	194783	202063	+	7281	TTS	6	b0174,b0175,b0176,b0177,b0178,b0179	0	0
TU_Ju_31308523_LB.exponential_134	196158	202063	+	5906	TTS	4	b0176,b0177,b0178,b0179	0	0
TU_Ju_31308523_LB.exponential_135	197025	202063	+	5039	TTS	3	b0177,b0178,b0179	0	0
TU_Ju_31308523_LB.exponential_136	197298	202063	+	4766	TTS	3	b0177,b0178,b0179	0	0
TU_Ju_31308523_LB.exponential_137	200398	202063	+	1666	TTS	2	b0178,b0179	0	0
TU_Ju_31308523_LB.exponential_138	200398	203408	+	3011	TTS	4	b0178,b0179,b0180,b0181	0	0
TU_Ju_31308523_LB.exponential_139	201483	203408	+	1926	TTS	2	b0180,b0181	0	0
TU_Ju_31308523_LB.exponential_140	202072	203408	+	1337	TTS	2	b0180,b0181	0	0
TU_Ju_31308523_LB.exponential_141	206438	209625	+	3188	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_142	207425	209625	+	2201	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_143	207633	209625	+	1993	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_144	208275	209625	+	1351	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_145	208325	209625	+	1301	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_146	208411	209625	+	1215	TTS	1	b0185	0	0
TU_Ju_31308523_LB.exponential_147	213630	214163	-	534	TTS	2	b4406,b0189	0	0
TU_Ju_31308523_LB.exponential_148	213630	214197	-	568	TTS	2	b4406,b0189	0	0
TU_Ju_31308523_LB.exponential_149	214268	216093	+	1826	TTS	3	b0190,b0191,b0192	0	0
TU_Ju_31308523_LB.exponential_150	214620	216093	+	1474	TTS	2	b0191,b0192	0	0
TU_Ju_31308523_LB.exponential_151	214988	216093	+	1106	TTS	1	b0192	0	0
TU_Ju_31308523_LB.exponential_152	217019	217674	-	656	TTS	0		0	0
TU_Ju_31308523_LB.exponential_153	217019	218837	-	1819	TTS	1	b0194	0	0
TU_Ju_31308523_LB.exponential_154	217019	218989	-	1971	TTS	1	b0194	0	0
TU_Ju_31308523_LB.exponential_155	217019	220022	-	3004	TTS	3	b0196,b0195,b0194	0	0
TU_Ju_31308523_LB.exponential_156	217019	220072	-	3054	TTS	3	b0196,b0195,b0194	0	0
TU_Ju_31308523_LB.exponential_157	217019	221008	-	3990	TTS	4	b0197,b0196,b0195,b0194	0	0
TU_Ju_31308523_LB.exponential_158	217019	221368	-	4350	TTS	4	b0197,b0196,b0195,b0194	0	0
TU_Ju_31308523_LB.exponential_159	217019	222714	-	5696	TTS	6	b0199,b0198,b0197,b0196,b0195,b0194	0	0
TU_Ju_31308523_LB.exponential_160	220051	221008	-	958	TTS	1	b0197	0	0
TU_Ju_31308523_LB.exponential_161	220051	221368	-	1318	TTS	1	b0197	0	0
TU_Ju_31308523_LB.exponential_162	220051	222714	-	2664	TTS	3	b0199,b0198,b0197	0	0
TU_Ju_31308523_LB.exponential_163	222805	225345	+	2541	TTS	2	b0200,b0201	0	0
TU_Ju_31308523_LB.exponential_164	223484	225345	+	1862	TTS	1	b0201	0	0
TU_Ju_31308523_LB.exponential_165	223769	225345	+	1577	TTS	1	b0201	0	0
TU_Ju_31308523_LB.exponential_166	223769	229043	+	5275	TTS	6	b0201,b0202,b0203,b0204,b0205,b0206	0	0
TU_Ju_31308523_LB.exponential_167	225605	229043	+	3439	TTS	3	b0204,b0205,b0206	0	0
TU_Ju_31308523_LB.exponential_168	225605	230004	+	4400	TTS	4	b0204,b0205,b0206,b0207	0	0
TU_Ju_31308523_LB.exponential_169	225758	229043	+	3286	TTS	3	b0204,b0205,b0206	0	0
TU_Ju_31308523_LB.exponential_170	225758	230004	+	4247	TTS	4	b0204,b0205,b0206,b0207	0	0
TU_Ju_31308523_LB.exponential_171	225758	232585	+	6828	TTS	6	b0204,b0205,b0206,b0207,b0209,b0210	0	0
TU_Ju_31308523_LB.exponential_172	229133	230004	+	872	TTS	1	b0207	0	0
TU_Ju_31308523_LB.exponential_173	229133	232585	+	3453	TTS	3	b0207,b0209,b0210	0	0
TU_Ju_31308523_LB.exponential_174	229895	230921	-	1027	TTS	1	b0208	0	0
TU_Ju_31308523_LB.exponential_175	229895	231573	-	1679	TTS	1	b0208	0	0
TU_Ju_31308523_LB.exponential_176	229895	233982	-	4088	TTS	2	b0211,b0208	0	0
TU_Ju_31308523_LB.exponential_177	229895	234201	-	4307	TTS	2	b0211,b0208	0	0
TU_Ju_31308523_LB.exponential_178	229895	234947	-	5053	TTS	3	b0212,b0211,b0208	0	0
TU_Ju_31308523_LB.exponential_179	229895	236040	-	6146	TTS	4	b0214,b0212,b0211,b0208	0	0
TU_Ju_31308523_LB.exponential_180	229895	236578	-	6684	TTS	4	b0214,b0212,b0211,b0208	0	0
TU_Ju_31308523_LB.exponential_181	231038	232585	+	1548	TTS	2	b0209,b0210	0	0
TU_Ju_31308523_LB.exponential_182	231061	232585	+	1525	TTS	2	b0209,b0210	0	0
TU_Ju_31308523_LB.exponential_183	232550	233982	-	1433	TTS	1	b0211	0	0
TU_Ju_31308523_LB.exponential_184	232550	234201	-	1652	TTS	1	b0211	0	0
TU_Ju_31308523_LB.exponential_185	232550	234947	-	2398	TTS	2	b0212,b0211	0	0
TU_Ju_31308523_LB.exponential_186	232550	236040	-	3491	TTS	3	b0214,b0212,b0211	0	0
TU_Ju_31308523_LB.exponential_187	232550	236578	-	4029	TTS	3	b0214,b0212,b0211	0	0
TU_Ju_31308523_LB.exponential_188	235486	236040	-	555	TTS	1	b0214	0	0
TU_Ju_31308523_LB.exponential_189	235486	236578	-	1093	TTS	1	b0214	0	0
TU_Ju_31308523_LB.exponential_190	235936	237068	+	1133	TTS	2	b0215,b0216	0	0
TU_Ju_31308523_LB.exponential_191	236020	237068	+	1049	TTS	2	b0215,b0216	0	0
TU_Ju_31308523_LB.exponential_192	239352	240216	-	865	TTS	1	b0219	0	0
TU_Ju_31308523_LB.exponential_193	239352	243347	-	3996	TTS	2	b0221,b0219	0	0
TU_Ju_31308523_LB.exponential_194	240280	240855	+	576	TTS	1	b0220	0	0
TU_Ju_31308523_LB.exponential_195	240300	240855	+	556	TTS	1	b0220	0	0
TU_Ju_31308523_LB.exponential_196	240318	240855	+	538	TTS	1	b0220	0	0
TU_Ju_31308523_LB.exponential_197	240333	240855	+	523	TTS	1	b0220	0	0
TU_Ju_31308523_LB.exponential_198	240826	241793	-	968	TTS	0		0	0
TU_Ju_31308523_LB.exponential_199	240826	241946	-	1121	TTS	0		0	0
TU_Ju_31308523_LB.exponential_200	240826	243277	-	2452	TTS	0		0	0
TU_Ju_31308523_LB.exponential_201	240826	243347	-	2522	TTS	1	b0221	0	0
TU_Ju_31308523_LB.exponential_202	240826	243365	-	2540	TTS	1	b0221	0	0
TU_Ju_31308523_LB.exponential_203	240826	245884	-	5059	TTS	2	b0224,b0221	0	0
TU_Ju_31308523_LB.exponential_204	240826	246532	-	5707	TTS	4	b0226,b0225,b0224,b0221	0	0
TU_Ju_31308523_LB.exponential_205	240826	246854	-	6029	TTS	4	b0226,b0225,b0224,b0221	0	0
TU_Ju_31308523_LB.exponential_206	246130	246532	-	403	TTS	1	b0226	0	0
TU_Ju_31308523_LB.exponential_207	246130	246854	-	725	TTS	1	b0226	0	0
TU_Ju_31308523_LB.exponential_208	247622	248340	+	719	TTS	1	b0228	0	0
TU_Ju_31308523_LB.exponential_209	247989	248340	+	352	TTS	0		0	0
TU_Ju_31308523_LB.exponential_210	254209	255807	-	1599	TTS	1	b0237	0	0
TU_Ju_31308523_LB.exponential_211	255824	256470	+	647	TTS	1	b0238	0	0
TU_Ju_31308523_LB.exponential_212	255917	256470	+	554	TTS	1	b0238	0	0
TU_Ju_31308523_LB.exponential_213	255917	259041	+	3125	TTS	3	b0238,b0239,b0240	0	0
TU_Ju_31308523_LB.exponential_214	256501	259041	+	2541	TTS	2	b0239,b0240	0	0
TU_Ju_31308523_LB.exponential_215	257792	259041	+	1250	TTS	1	b0240	1	0
TU_Ju_31308523_LB.exponential_216	257809	259041	+	1233	TTS	1	b0240	1	0
TU_Ju_31308523_LB.exponential_217	260236	262823	+	2588	TTS	2	b0242,b0243	0	0
TU_Ju_31308523_LB.exponential_218	260348	262823	+	2476	TTS	2	b0242,b0243	0	0
TU_Ju_31308523_LB.exponential_219	261443	262823	+	1381	TTS	1	b0243	0	0
TU_Ju_31308523_LB.exponential_220	264248	265598	+	1351	TTS	0		0	0
TU_Ju_31308523_LB.exponential_221	264807	265598	+	792	TTS	0		0	0
TU_Ju_31308523_LB.exponential_222	265562	266071	-	510	TTS	0		0	0
TU_Ju_31308523_LB.exponential_223	265562	266223	-	662	TTS	1	b0250	0	0
TU_Ju_31308523_LB.exponential_224	265562	266763	-	1202	TTS	2	b0251,b0250	0	0
TU_Ju_31308523_LB.exponential_225	282221	285220	+	3000	TTS	2	b0268,b0269	0	0
TU_Ju_31308523_LB.exponential_226	284538	285220	+	683	TTS	0		0	0
TU_Ju_31308523_LB.exponential_227	291526	292317	+	792	TTS	0		0	0
TU_Ju_31308523_LB.exponential_228	291887	292317	+	431	TTS	0		0	0
TU_Ju_31308523_LB.exponential_229	292285	292945	-	661	TTS	0		0	0
TU_Ju_31308523_LB.exponential_230	302958	303649	+	692	TTS	1	b0287	0	0
TU_Ju_31308523_LB.exponential_231	312285	312803	-	519	TTS	2	b0296,b4506	0	0
TU_Ju_31308523_LB.exponential_232	318633	320033	-	1401	TTS	1	b0304	0	0
TU_Ju_31308523_LB.exponential_233	321483	324603	+	3121	TTS	3	b0306,b0307,b0308	0	0
