id	start	stop	strand	pos_1	gene	orientation	total_reads
TSS_Storz_rich.exponential_1	148	148	+	148	thrL	upstream/sense	NA
TSS_Storz_rich.exponential_2	1176	1176	-	1176	thrA	intragenic/antisense	NA
TSS_Storz_rich.exponential_3	2391	2391	+	2391	thrA	intragenic/sense	NA
TSS_Storz_rich.exponential_4	2581	2581	+	2581	thrA	intragenic/sense	NA
TSS_Storz_rich.exponential_5	2581	2581	+	2581	thrB	upstream/sense	NA
TSS_Storz_rich.exponential_6	3729	3729	-	3729	thrB	intragenic/antisense	NA
TSS_Storz_rich.exponential_7	3729	3729	-	3729	thrC	upstream/antisense	NA
TSS_Storz_rich.exponential_8	4787	4787	+	4787	thrC	intragenic/sense	NA
TSS_Storz_rich.exponential_9	5147	5147	+	5147	yaaX	upstream/sense	NA
TSS_Storz_rich.exponential_10	5652	5652	+	5652	yaaA	downstream/antisense	NA
TSS_Storz_rich.exponential_11	5925	5925	-	5925	yaaA	intragenic/sense	NA
TSS_Storz_rich.exponential_12	6728	6728	+	6728	yaaJ	intragenic/antisense	NA
TSS_Storz_rich.exponential_13	6966	6966	+	6966	yaaJ	intragenic/antisense	NA
TSS_Storz_rich.exponential_14	8226	8226	-	8226	yaaJ	upstream/sense	NA
TSS_Storz_rich.exponential_15	8226	8226	-	8226	talB	upstream/antisense	NA
TSS_Storz_rich.exponential_16	9213	9213	-	9213	talB	downstream/antisense	NA
TSS_Storz_rich.exponential_17	9213	9213	-	9213	mog	upstream/antisense	NA
TSS_Storz_rich.exponential_18	9359	9359	-	9359	mog	intragenic/antisense	NA
TSS_Storz_rich.exponential_19	10476	10476	-	10476	yaaH	intragenic/sense	NA
TSS_Storz_rich.exponential_20	10989	10989	-	10989	yaaW	intragenic/sense	NA
TSS_Storz_rich.exponential_21	11033	11033	-	11033	yaaW	intragenic/sense	NA
TSS_Storz_rich.exponential_22	11090	11090	+	11090	yaaW	intragenic/antisense	NA
TSS_Storz_rich.exponential_23	11407	11407	+	11407	yaaI	intragenic/antisense	NA
TSS_Storz_rich.exponential_24	11407	11407	+	11407	yaaW	upstream/antisense	NA
TSS_Storz_rich.exponential_25	11543	11543	+	11543	yaaI	intragenic/antisense	NA
TSS_Storz_rich.exponential_26	11936	11936	-	11936	yaaI	upstream/sense	NA
TSS_Storz_rich.exponential_27	12135	12135	-	12135	dnaK	upstream/antisense	NA
TSS_Storz_rich.exponential_28	13083	13083	+	13083	dnaK	intragenic/sense	NA
TSS_Storz_rich.exponential_29	14095	14095	-	14095	dnaJ	upstream/antisense	NA
TSS_Storz_rich.exponential_30	14095	14095	-	14095	dnaK	downstream/antisense	NA
TSS_Storz_rich.exponential_31	14535	14535	+	14535	dnaJ	intragenic/sense	NA
TSS_Storz_rich.exponential_32	16003	16003	-	16003	insL1	intragenic/antisense	NA
TSS_Storz_rich.exponential_33	16296	16296	-	16296	insL1	intragenic/antisense	NA
TSS_Storz_rich.exponential_34	16460	16460	-	16460	insL1	intragenic/antisense	NA
TSS_Storz_rich.exponential_35	16949	16949	-	16949	sokC	upstream/antisense	NA
TSS_Storz_rich.exponential_36	16949	16949	-	16949	hokC	upstream/sense	NA
TSS_Storz_rich.exponential_37	16949	16949	-	16949	mokC	intragenic/sense	NA
TSS_Storz_rich.exponential_38	16952	16952	+	16952	hokC	upstream/antisense	NA
TSS_Storz_rich.exponential_39	16952	16952	+	16952	sokC	upstream/sense	NA
TSS_Storz_rich.exponential_40	16952	16952	+	16952	mokC	intragenic/antisense	NA
TSS_Storz_rich.exponential_41	17053	17053	-	17053	sokC	downstream/antisense	NA
TSS_Storz_rich.exponential_42	17053	17053	-	17053	mokC	upstream/sense	NA
TSS_Storz_rich.exponential_43	17224	17224	+	17224	nhaA	upstream/sense	NA
TSS_Storz_rich.exponential_44	17311	17311	+	17311	nhaA	upstream/sense	NA
TSS_Storz_rich.exponential_45	17454	17454	+	17454	nhaA	upstream/sense	NA
TSS_Storz_rich.exponential_46	17589	17589	-	17589	nhaA	intragenic/antisense	NA
TSS_Storz_rich.exponential_47	17981	17981	+	17981	nhaA	intragenic/sense	NA
TSS_Storz_rich.exponential_48	18374	18374	+	18374	nhaA	intragenic/sense	NA
TSS_Storz_rich.exponential_49	18553	18553	+	18553	nhaR	upstream/sense	NA
TSS_Storz_rich.exponential_50	18553	18553	+	18553	nhaA	intragenic/sense	NA
TSS_Storz_rich.exponential_51	19187	19187	+	19187	nhaR	intragenic/sense	NA
TSS_Storz_rich.exponential_52	19486	19486	+	19486	nhaR	intragenic/sense	NA
TSS_Storz_rich.exponential_53	19511	19511	-	19511	nhaR	intragenic/antisense	NA
TSS_Storz_rich.exponential_54	19532	19532	+	19532	nhaR	intragenic/sense	NA
TSS_Storz_rich.exponential_55	19659	19659	-	19659	nhaR	downstream/antisense	NA
TSS_Storz_rich.exponential_56	19677	19677	+	19677	NA	NA	NA
TSS_Storz_rich.exponential_57	19759	19759	+	19759	insB1	downstream/antisense	NA
TSS_Storz_rich.exponential_58	19831	19831	+	19831	insB1	intragenic/antisense	NA
TSS_Storz_rich.exponential_59	20278	20278	+	20278	insB1	intragenic/antisense	NA
TSS_Storz_rich.exponential_60	20278	20278	+	20278	insA	intragenic/antisense	NA
TSS_Storz_rich.exponential_61	20526	20526	-	20526	insA	upstream/sense	NA
TSS_Storz_rich.exponential_62	20678	20678	-	20678	insA	upstream/sense	NA
TSS_Storz_rich.exponential_63	21007	21007	+	21007	yaaY	upstream/sense	NA
TSS_Storz_rich.exponential_64	21007	21007	+	21007	rpsT	intragenic/antisense	NA
TSS_Storz_rich.exponential_65	21207	21207	-	21207	rpsT	upstream/sense	NA
TSS_Storz_rich.exponential_66	21207	21207	-	21207	yaaY	intragenic/antisense	NA
TSS_Storz_rich.exponential_67	21383	21383	+	21383	ribF	upstream/sense	NA
TSS_Storz_rich.exponential_68	21383	21383	+	21383	yaaY	intragenic/sense	NA
TSS_Storz_rich.exponential_69	21835	21835	+	21835	ribF	intragenic/sense	NA
TSS_Storz_rich.exponential_70	22229	22229	+	22229	ribF	intragenic/sense	NA
TSS_Storz_rich.exponential_71	22229	22229	+	22229	ileS	upstream/sense	NA
TSS_Storz_rich.exponential_72	23116	23116	+	23116	ileS	intragenic/sense	NA
TSS_Storz_rich.exponential_73	23267	23267	+	23267	ileS	intragenic/sense	NA
TSS_Storz_rich.exponential_74	24351	24351	+	24351	ileS	intragenic/sense	NA
TSS_Storz_rich.exponential_75	25014	25014	+	25014	lspA	upstream/sense	NA
TSS_Storz_rich.exponential_76	25014	25014	+	25014	ileS	intragenic/sense	NA
TSS_Storz_rich.exponential_77	25344	25344	-	25344	lspA	intragenic/antisense	NA
TSS_Storz_rich.exponential_78	26476	26476	-	26476	ispH	intragenic/antisense	NA
TSS_Storz_rich.exponential_79	27114	27114	+	27114	ispH	intragenic/sense	NA
TSS_Storz_rich.exponential_80	27114	27114	+	27114	rihC	upstream/sense	NA
TSS_Storz_rich.exponential_81	27263	27263	+	27263	rihC	upstream/sense	NA
TSS_Storz_rich.exponential_82	28287	28287	+	28287	dapB	upstream/sense	NA
TSS_Storz_rich.exponential_83	29062	29062	+	29062	dapB	intragenic/sense	NA
TSS_Storz_rich.exponential_84	29129	29129	+	29129	dapB	intragenic/sense	NA
TSS_Storz_rich.exponential_85	29551	29551	+	29551	carA	upstream/sense	NA
TSS_Storz_rich.exponential_86	29767	29767	-	29767	carA	intragenic/antisense	NA
