e_feat_id	name	source	type	contig	start	stop	strand
1	Wade_p1	Wade	Promoter	U00096	58	58	+
10	Wade_p10	Wade	Promoter	U00096	6060	6060	+
100	Wade_p100	Wade	Promoter	U00096	157749	157749	+
1000	Wade_p1000	Wade	Promoter	U00096	1519000	1519000	+
1001	Wade_p1001	Wade	Promoter	U00096	1520270	1520270	+
1002	Wade_p1002	Wade	Promoter	U00096	1523138	1523138	+
1003	Wade_p1003	Wade	Promoter	U00096	1524200	1524200	+
1004	Wade_p1004	Wade	Promoter	U00096	1524613	1524613	+
1005	Wade_p1005	Wade	Promoter	U00096	1530551	1530551	+
1006	Wade_p1006	Wade	Promoter	U00096	1532631	1532631	+
1007	Wade_p1007	Wade	Promoter	U00096	1533029	1533029	+
1008	Wade_p1008	Wade	Promoter	U00096	1550819	1550819	+
1009	Wade_p1009	Wade	Promoter	U00096	1551045	1551045	+
101	Wade_p101	Wade	Promoter	U00096	158624	158624	+
1010	Wade_p1010	Wade	Promoter	U00096	1551653	1551653	+
1011	Wade_p1011	Wade	Promoter	U00096	1551895	1551895	+
1012	Wade_p1012	Wade	Promoter	U00096	1567252	1567252	+
1013	Wade_p1013	Wade	Promoter	U00096	1568992	1568992	+
1014	Wade_p1014	Wade	Promoter	U00096	1568993	1568993	+
1015	Wade_p1015	Wade	Promoter	U00096	1572570	1572570	+
1016	Wade_p1016	Wade	Promoter	U00096	1572715	1572715	+
1017	Wade_p1017	Wade	Promoter	U00096	1573307	1573307	+
1018	Wade_p1018	Wade	Promoter	U00096	1579477	1579477	+
1019	Wade_p1019	Wade	Promoter	U00096	1584513	1584513	+
102	Wade_p102	Wade	Promoter	U00096	159134	159134	+
1020	Wade_p1020	Wade	Promoter	U00096	1588709	1588709	+
1021	Wade_p1021	Wade	Promoter	U00096	1592301	1592301	+
1022	Wade_p1022	Wade	Promoter	U00096	1594282	1594282	+
1023	Wade_p1023	Wade	Promoter	U00096	1594284	1594284	+
1024	Wade_p1024	Wade	Promoter	U00096	1603420	1603420	+
1025	Wade_p1025	Wade	Promoter	U00096	1605477	1605477	+
1026	Wade_p1026	Wade	Promoter	U00096	1607323	1607323	+
1027	Wade_p1027	Wade	Promoter	U00096	1608909	1608909	+
1028	Wade_p1028	Wade	Promoter	U00096	1611907	1611907	+
1029	Wade_p1029	Wade	Promoter	U00096	1615203	1615203	+
103	Wade_p103	Wade	Promoter	U00096	162075	162075	+
1030	Wade_p1030	Wade	Promoter	U00096	1617836	1617836	+
1031	Wade_p1031	Wade	Promoter	U00096	1617839	1617839	+
1032	Wade_p1032	Wade	Promoter	U00096	1619093	1619093	+
1033	Wade_p1033	Wade	Promoter	U00096	1622586	1622586	+
1034	Wade_p1034	Wade	Promoter	U00096	1622590	1622590	+
1035	Wade_p1035	Wade	Promoter	U00096	1627219	1627219	+
1036	Wade_p1036	Wade	Promoter	U00096	1627488	1627488	+
1037	Wade_p1037	Wade	Promoter	U00096	1627492	1627492	+
1038	Wade_p1038	Wade	Promoter	U00096	1627493	1627493	+
1039	Wade_p1039	Wade	Promoter	U00096	1629237	1629237	+
104	Wade_p104	Wade	Promoter	U00096	164015	164015	+
1040	Wade_p1040	Wade	Promoter	U00096	1631394	1631394	+
1041	Wade_p1041	Wade	Promoter	U00096	1633622	1633622	+
1042	Wade_p1042	Wade	Promoter	U00096	1645774	1645774	+
1043	Wade_p1043	Wade	Promoter	U00096	1647932	1647932	+
1044	Wade_p1044	Wade	Promoter	U00096	1650564	1650564	+
1045	Wade_p1045	Wade	Promoter	U00096	1652115	1652115	+
1046	Wade_p1046	Wade	Promoter	U00096	1652116	1652116	+
1047	Wade_p1047	Wade	Promoter	U00096	1654304	1654304	+
1048	Wade_p1048	Wade	Promoter	U00096	1655709	1655709	+
